name;offset;size;description;bitfield
pmc_rst.gblrst_cause_0.cpu_thrm_wdt;112;1;;1
pmc_rst.gblrst_cause_0.me_unc_err;113;1;;1
pmc_rst.gblrst_cause_0.adr_gpio;114;1;;1
pmc_rst.gblrst_cause_0.ocwdt_noicc;115;1;;1
pmc_rst.gblrst_cause_0.ocwdt_icc;116;1;;1
pmc_rst.gblrst_cause_0.cse_hec_unc_err;117;1;;1
pmc_rst.gblrst_cause_0.pmc_sram_unc_err;118;1;;1
pmc_rst.gblrst_cause_0.pmc_irom_parity;119;1;;1
pmc_rst.gblrst_cause_0.pmc_rf_fusa_err;120;1;;1
pmc_rst.gblrst_cause_0.compute_thrm;121;1;;1
pmc_rst.gblrst_cause_0.gfx_thrm;122;1;;1
pmc_rst.gblrst_cause_0.base_thrm;123;1;;1
pmc_rst.gblrst_cause_0.gpsb_link_int_err;124;1;;1
pmc_rst.gblrst_cause_0.ese_gblrst_req;126;1;;1
pmc_rst.fw_gblrst_cause_0;128;24;;0
pmc_rst.fw_gblrst_cause_0.host_reset_timeout;128;1;;1
pmc_rst.fw_gblrst_cause_0.sx_entry_timeout;129;1;;1
pmc_rst.fw_gblrst_cause_0.host_rst_prom;130;1;;1
pmc_rst.fw_gblrst_cause_0.hsmb_msg;131;1;;1
pmc_rst.fw_gblrst_cause_0.pmc_3strike;132;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch5;133;1;;1
pmc_rst.fw_gblrst_cause_0.pmc_dma_error;134;1;;1
pmc_rst.fw_gblrst_cause_0.espi_type7;136;1;;1
pmc_rst.fw_gblrst_cause_0.espi_type8;137;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch10;138;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch11;139;1;;1
pmc_rst.fw_gblrst_cause_0.lpm_fw_err;140;1;;1
pmc_rst.fw_gblrst_cause_0.bscan_mode;141;1;;1
pmc_rst.fw_gblrst_cause_0.slp_lvl_rsp_err;142;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch15;143;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch16;144;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch17;145;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch18;146;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch19;147;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch20;148;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch21;149;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch22;150;1;;1
pmc_rst.fw_gblrst_cause_0.fw_gblrst_scratch23;151;1;;1
pmc_rst.host_pr_cause_0;152;24;;0
pmc_rst.host_pr_cause_0.cf9;153;1;;1
pmc_rst.host_pr_cause_0.sysrst;154;1;;1
pmc_rst.host_pr_cause_0.ltrst;155;1;;1
pmc_rst.host_pr_cause_0.tco_wdt;158;1;;1
pmc_rst.host_pr_cause_0.mi_hr;160;1;;1
pmc_rst.host_pr_cause_0.hi_prpc;161;1;;1
pmc_rst.host_pr_cause_0.mi_hrpd;162;1;;1
pmc_rst.host_pr_cause_0.ve_wdt;163;1;;1
pmc_rst.host_pr_cause_0.hsmb_hr;164;1;;1
pmc_rst.host_pr_cause_0.hsmb_hrpc;165;1;;1
pmc_rst.host_pr_cause_0.lt_slperr;166;1;;1
pmc_rst.host_pr_cause_0.gbl_to_host;167;1;;1
pmc_rst.host_pr_cause_0.espi_rwopc;168;1;;1
pmc_rst.host_pr_cause_0.espi_rwpc;169;1;;1
pmc_rst.pch_pm_sts2;176;24;;0
pmc_rst.pch_pm_sts2.eva_l23;176;1;;1
pmc_rst.pch_pm_sts2.xhci_hrhs;177;1;;1
pmc_rst.pch_pm_sts2.sp_l23;178;1;;1
pmc_rst.pch_pm_sts2.smb_srhs;179;1;;1
pmc_rst.pch_pm_sts2.dmi_l23;180;1;;1
pmc_rst.pch_pm_sts2.cpu_s1_ack;181;1;;1
pmc_rst.pch_pm_sts2.cpu_s345rw_ack;182;1;;1
pmc_rst.pch_pm_sts2.xck_hrhs;183;1;;1
pmc_rst.pch_pm_sts2.spi_hrhs;184;1;;1
pmc_rst.pch_pm_sts2.exi_state_trans_ack;185;1;;1
pmc_rst.pch_pm_sts2.smt_rst_ack;186;1;;1
pmc_rst.pch_pm_sts2.pschs_ack;187;1;;1
pmc_rst.pch_pm_sts2.pinstop_ack;188;1;;1
pmc_rst.pch_pm_sts2.me_hbpd;189;1;;1
pmc_rst.pch_pm_sts2.crd;190;1;;1
pmc_rst.pch_pm_sts2.cpuid_pinfo_rsp_to;192;1;;1
pmc_rst.pch_pm_sts2.me_patch_timeout;193;1;;1
pmc_rst.pch_pm_sts2.smt_rsp_data_of;194;1;;1
pmc_rst.pch_pm_sts2.mac_access_fail;195;1;;1
pmc_rst.pch_pm_sts2.mb_full;196;1;;1
pmc_rst.pch_pm_sts2.reg_conflict;197;1;;1
pmc_rst.pch_pm_sts2.pipe_slots_empty;198;1;;1
pmc_rst.pch_pm_sts2.invalid_int;199;1;;1
pmc_rst.reserved0;200;32;;0
pmc_rst.reserved1;232;32;;0
pmc_rst.reserved2;264;32;;0
