name;offset;size;description;bitfield
module.xq.entry31;2432;64;;0
module.xq.entry31.addr;2432;52;;0
module.xq.entry31.req_type;2484;8;;0
module.xq.entry31.core_id;2492;2;;0
module.xq.entry31.status;2494;1;;0
module.xq.entry32;2496;64;;0
module.xq.entry32.addr;2496;52;;0
module.xq.entry32.req_type;2548;8;;0
module.xq.entry32.core_id;2556;2;;0
module.xq.entry32.status;2558;1;;0
module.xq.entry33;2560;64;;0
module.xq.entry33.addr;2560;52;;0
module.xq.entry33.req_type;2612;8;;0
module.xq.entry33.core_id;2620;2;;0
module.xq.entry33.status;2622;1;;0
module.xq.entry34;2624;64;;0
module.xq.entry34.addr;2624;52;;0
module.xq.entry34.req_type;2676;8;;0
module.xq.entry34.core_id;2684;2;;0
module.xq.entry34.status;2686;1;;0
module.xq.entry35;2688;64;;0
module.xq.entry35.addr;2688;52;;0
module.xq.entry35.req_type;2740;8;;0
module.xq.entry35.core_id;2748;2;;0
module.xq.entry35.status;2750;1;;0
module.xq.entry36;2752;64;;0
module.xq.entry36.addr;2752;52;;0
module.xq.entry36.req_type;2804;8;;0
module.xq.entry36.core_id;2812;2;;0
module.xq.entry36.status;2814;1;;0
module.xq.entry37;2816;64;;0
module.xq.entry37.addr;2816;52;;0
module.xq.entry37.req_type;2868;8;;0
module.xq.entry37.core_id;2876;2;;0
module.xq.entry37.status;2878;1;;0
module.xq.entry38;2880;64;;0
module.xq.entry38.addr;2880;52;;0
module.xq.entry38.req_type;2932;8;;0
module.xq.entry38.core_id;2940;2;;0
module.xq.entry38.status;2942;1;;0
module.xq.entry39;2944;64;;0
module.xq.entry39.addr;2944;52;;0
module.xq.entry39.req_type;2996;8;;0
module.xq.entry39.core_id;3004;2;;0
module.xq.entry39.status;3006;1;;0
module.xq.entry40;3008;64;;0
module.xq.entry40.addr;3008;52;;0
module.xq.entry40.req_type;3060;8;;0
module.xq.entry40.core_id;3068;2;;0
module.xq.entry40.status;3070;1;;0
module.xq.entry41;3072;64;;0
module.xq.entry41.addr;3072;52;;0
module.xq.entry41.req_type;3124;8;;0
module.xq.entry41.core_id;3132;2;;0
module.xq.entry41.status;3134;1;;0
module.xq.entry42;3136;64;;0
module.xq.entry42.addr;3136;52;;0
module.xq.entry42.req_type;3188;8;;0
module.xq.entry42.core_id;3196;2;;0
module.xq.entry42.status;3198;1;;0
module.xq.entry43;3200;64;;0
module.xq.entry43.addr;3200;52;;0
module.xq.entry43.req_type;3252;8;;0
module.xq.entry43.core_id;3260;2;;0
module.xq.entry43.status;3262;1;;0
module.xq.entry44;3264;64;;0
module.xq.entry44.addr;3264;52;;0
module.xq.entry44.req_type;3316;8;;0
module.xq.entry44.core_id;3324;2;;0
module.xq.entry44.status;3326;1;;0
module.xq.entry45;3328;64;;0
module.xq.entry45.addr;3328;52;;0
module.xq.entry45.req_type;3380;8;;0
module.xq.entry45.core_id;3388;2;;0
module.xq.entry45.status;3390;1;;0
module.xq.entry46;3392;64;;0
module.xq.entry46.addr;3392;52;;0
module.xq.entry46.req_type;3444;8;;0
module.xq.entry46.core_id;3452;2;;0
module.xq.entry46.status;3454;1;;0
module.xq.entry47;3456;64;;0
module.xq.entry47.addr;3456;52;;0
module.xq.entry47.req_type;3508;8;;0
module.xq.entry47.core_id;3516;2;;0
module.xq.entry47.status;3518;1;;0
module.xq.entry48;3520;64;;0
module.xq.entry48.addr;3520;52;;0
module.xq.entry48.req_type;3572;8;;0
module.xq.entry48.core_id;3580;2;;0
module.xq.entry48.status;3582;1;;0
module.xq.entry49;3584;64;;0
module.xq.entry49.addr;3584;52;;0
module.xq.entry49.req_type;3636;8;;0
module.xq.entry49.core_id;3644;2;;0
module.xq.entry49.status;3646;1;;0
module.xq.entry50;3648;64;;0
module.xq.entry50.addr;3648;52;;0
module.xq.entry50.req_type;3700;8;;0
module.xq.entry50.core_id;3708;2;;0
module.xq.entry50.status;3710;1;;0
module.xq.entry51;3712;64;;0
module.xq.entry51.addr;3712;52;;0
module.xq.entry51.req_type;3764;8;;0
module.xq.entry51.core_id;3772;2;;0
module.xq.entry51.status;3774;1;;0
module.xq.entry52;3776;64;;0
module.xq.entry52.addr;3776;52;;0
module.xq.entry52.req_type;3828;8;;0
module.xq.entry52.core_id;3836;2;;0
module.xq.entry52.status;3838;1;;0
module.xq.entry53;3840;64;;0
module.xq.entry53.addr;3840;52;;0
module.xq.entry53.req_type;3892;8;;0
module.xq.entry53.core_id;3900;2;;0
module.xq.entry53.status;3902;1;;0
module.xq.entry54;3904;64;;0
module.xq.entry54.addr;3904;52;;0
module.xq.entry54.req_type;3956;8;;0
module.xq.entry54.core_id;3964;2;;0
module.xq.entry54.status;3966;1;;0
module.xq.entry55;3968;64;;0
module.xq.entry55.addr;3968;52;;0
module.xq.entry55.req_type;4020;8;;0
module.xq.entry55.core_id;4028;2;;0
module.xq.entry55.status;4030;1;;0
module.xq.entry56;4032;64;;0
module.xq.entry56.addr;4032;52;;0
module.xq.entry56.req_type;4084;8;;0
module.xq.entry56.core_id;4092;2;;0
module.xq.entry56.status;4094;1;;0
module.xq.entry57;4096;64;;0
module.xq.entry57.addr;4096;52;;0
module.xq.entry57.req_type;4148;8;;0
module.xq.entry57.core_id;4156;2;;0
module.xq.entry57.status;4158;1;;0
module.xq.entry58;4160;64;;0
module.xq.entry58.addr;4160;52;;0
module.xq.entry58.req_type;4212;8;;0
module.xq.entry58.core_id;4220;2;;0
module.xq.entry58.status;4222;1;;0
module.xq.entry59;4224;64;;0
module.xq.entry59.addr;4224;52;;0
module.xq.entry59.req_type;4276;8;;0
module.xq.entry59.core_id;4284;2;;0
module.xq.entry59.status;4286;1;;0
module.xq.entry60;4288;64;;0
module.xq.entry60.addr;4288;52;;0
module.xq.entry60.req_type;4340;8;;0
module.xq.entry60.core_id;4348;2;;0
module.xq.entry60.status;4350;1;;0
module.xq.entry61;4352;64;;0
module.xq.entry61.addr;4352;52;;0
module.xq.entry61.req_type;4404;8;;0
module.xq.entry61.core_id;4412;2;;0
