name;offset;size;description;bitfield
..req_type;3062;6;;0
..core_id;3068;2;;0
..status;3070;1;;0
...xq_41;3072;64;;0
.address;3072;52;;0
..opgrp;3124;2;;0
..req_type;3126;6;;0
..core_id;3132;2;;0
..status;3134;1;;0
...xq_42;3136;64;;0
.address;3136;52;;0
..opgrp;3188;2;;0
..req_type;3190;6;;0
..core_id;3196;2;;0
..status;3198;1;;0
...xq_43;3200;64;;0
.address;3200;52;;0
..opgrp;3252;2;;0
..req_type;3254;6;;0
..core_id;3260;2;;0
..status;3262;1;;0
...xq_44;3264;64;;0
.address;3264;52;;0
..opgrp;3316;2;;0
..req_type;3318;6;;0
..core_id;3324;2;;0
..status;3326;1;;0
...xq_45;3328;64;;0
.address;3328;52;;0
..opgrp;3380;2;;0
..req_type;3382;6;;0
..core_id;3388;2;;0
..status;3390;1;;0
...xq_46;3392;64;;0
.address;3392;52;;0
..opgrp;3444;2;;0
..req_type;3446;6;;0
..core_id;3452;2;;0
..status;3454;1;;0
...xq_47;3456;64;;0
.address;3456;52;;0
..opgrp;3508;2;;0
..req_type;3510;6;;0
..core_id;3516;2;;0
..status;3518;1;;0
...xq_48;3520;64;;0
.address;3520;52;;0
..opgrp;3572;2;;0
..req_type;3574;6;;0
..core_id;3580;2;;0
..status;3582;1;;0
...xq_49;3584;64;;0
.address;3584;52;;0
..opgrp;3636;2;;0
..req_type;3638;6;;0
..core_id;3644;2;;0
..status;3646;1;;0
...xq_50;3648;64;;0
.address;3648;52;;0
..opgrp;3700;2;;0
..req_type;3702;6;;0
..core_id;3708;2;;0
..status;3710;1;;0
...xq_51;3712;64;;0
.address;3712;52;;0
..opgrp;3764;2;;0
..req_type;3766;6;;0
..core_id;3772;2;;0
..status;3774;1;;0
...xq_52;3776;64;;0
.address;3776;52;;0
..opgrp;3828;2;;0
..req_type;3830;6;;0
..core_id;3836;2;;0
..status;3838;1;;0
...xq_53;3840;64;;0
.address;3840;52;;0
..opgrp;3892;2;;0
..req_type;3894;6;;0
..core_id;3900;2;;0
..status;3902;1;;0
...xq_54;3904;64;;0
.address;3904;52;;0
..opgrp;3956;2;;0
..req_type;3958;6;;0
..core_id;3964;2;;0
..status;3966;1;;0
...xq_55;3968;64;;0
.address;3968;52;;0
..opgrp;4020;2;;0
..req_type;4022;6;;0
..core_id;4028;2;;0
..status;4030;1;;0
...xq_56;4032;64;;0
.address;4032;52;;0
..opgrp;4084;2;;0
..req_type;4086;6;;0
..core_id;4092;2;;0
..status;4094;1;;0
...xq_57;4096;64;;0
.address;4096;52;;0
..opgrp;4148;2;;0
..req_type;4150;6;;0
..core_id;4156;2;;0
..status;4158;1;;0
...xq_58;4160;64;;0
.address;4160;52;;0
..opgrp;4212;2;;0
..req_type;4214;6;;0
..core_id;4220;2;;0
..status;4222;1;;0
...xq_59;4224;64;;0
.address;4224;52;;0
..opgrp;4276;2;;0
..req_type;4278;6;;0
..core_id;4284;2;;0
..status;4286;1;;0
...xq_60;4288;64;;0
.address;4288;52;;0
..opgrp;4340;2;;0
..req_type;4342;6;;0
..core_id;4348;2;;0
..status;4350;1;;0
...xq_61;4352;64;;0
.address;4352;52;;0
..opgrp;4404;2;;0
..req_type;4406;6;;0
..core_id;4412;2;;0
..status;4414;1;;0
...xq_62;4416;64;;0
.address;4416;52;;0
..opgrp;4468;2;;0
..req_type;4470;6;;0
..core_id;4476;2;;0
..status;4478;1;;0
...xq_63;4480;64;;0
.address;4480;52;;0
..opgrp;4532;2;;0
..req_type;4534;6;;0
..core_id;4540;2;;0
..status;4542;1;;0
...xq_64;4544;64;;0
.address;4544;52;;0
..opgrp;4596;2;;0
..req_type;4598;6;;0
..core_id;4604;2;;0
..status;4606;1;;0
...xq_65;4608;64;;0
.address;4608;52;;0
..opgrp;4660;2;;0
..req_type;4662;6;;0
..core_id;4668;2;;0
..status;4670;1;;0
...xq_66;4672;64;;0
.address;4672;52;;0
..opgrp;4724;2;;0
..req_type;4726;6;;0
..core_id;4732;2;;0
..status;4734;1;;0
...xq_67;4736;64;;0
.address;4736;52;;0
..opgrp;4788;2;;0
..req_type;4790;6;;0
..core_id;4796;2;;0
..status;4798;1;;0
...xq_68;4800;64;;0
.address;4800;52;;0
..opgrp;4852;2;;0
..req_type;4854;6;;0
..core_id;4860;2;;0
..status;4862;1;;0
...xq_69;4864;64;;0
.address;4864;52;;0
..opgrp;4916;2;;0
..req_type;4918;6;;0
..core_id;4924;2;;0
..status;4926;1;;0
...xq_70;4928;64;;0
.address;4928;52;;0
..opgrp;4980;2;;0
..req_type;4982;6;;0
..core_id;4988;2;;0
..status;4990;1;;0
...xq_71;4992;64;;0
.address;4992;52;;0
..opgrp;5044;2;;0
..req_type;5046;6;;0
..core_id;5052;2;;0
..status;5054;1;;0
...xq_72;5056;64;;0
.address;5056;52;;0
..opgrp;5108;2;;0
..req_type;5110;6;;0
..core_id;5116;2;;0
..status;5118;1;;0
...xq_73;5120;64;;0
.address;5120;52;;0
..opgrp;5172;2;;0
..req_type;5174;6;;0
..core_id;5180;2;;0
..status;5182;1;;0
...xq_74;5184;64;;0
.address;5184;52;;0
..opgrp;5236;2;;0
..req_type;5238;6;;0
..core_id;5244;2;;0
..status;5246;1;;0
...xq_75;5248;64;;0
.address;5248;52;;0
..opgrp;5300;2;;0
..req_type;5302;6;;0
..core_id;5308;2;;0
..status;5310;1;;0
...xq_76;5312;64;;0
.address;5312;52;;0
..opgrp;5364;2;;0
..req_type;5366;6;;0
..core_id;5372;2;;0
..status;5374;1;;0
...xq_77;5376;64;;0
.address;5376;52;;0
..opgrp;5428;2;;0
..req_type;5430;6;;0
..core_id;5436;2;;0
..status;5438;1;;0
...xq_78;5440;64;;0
.address;5440;52;;0
..opgrp;5492;2;;0
..req_type;5494;6;;0
..core_id;5500;2;;0
..status;5502;1;;0
...xq_79;5504;64;;0
.address;5504;52;;0
..opgrp;5556;2;;0
..req_type;5558;6;;0
..core_id;5564;2;;0
..status;5566;1;;0
...xq_80;5568;64;;0
.address;5568;52;;0
..opgrp;5620;2;;0
..req_type;5622;6;;0
..core_id;5628;2;;0
..status;5630;1;;0
...xq_81;5632;64;;0
.address;5632;52;;0
..opgrp;5684;2;;0
..req_type;5686;6;;0
..core_id;5692;2;;0
..status;5694;1;;0
...xq_82;5696;64;;0
.address;5696;52;;0
..opgrp;5748;2;;0
..req_type;5750;6;;0
..core_id;5756;2;;0
..status;5758;1;;0
...xq_83;5760;64;;0
.address;5760;52;;0
..opgrp;5812;2;;0
..req_type;5814;6;;0
..core_id;5820;2;;0
..status;5822;1;;0
...xq_84;5824;64;;0
.address;5824;52;;0
..opgrp;5876;2;;0
..req_type;5878;6;;0
..core_id;5884;2;;0
..status;5886;1;;0
...xq_85;5888;64;;0
.address;5888;52;;0
..opgrp;5940;2;;0
..req_type;5942;6;;0
..core_id;5948;2;;0
..status;5950;1;;0
...xq_86;5952;64;;0
.address;5952;52;;0
..opgrp;6004;2;;0
..req_type;6006;6;;0
..core_id;6012;2;;0
..status;6014;1;;0
...xq_87;6016;64;;0
.address;6016;52;;0
..opgrp;6068;2;;0
..req_type;6070;6;;0
..core_id;6076;2;;0
..status;6078;1;;0
...xq_88;6080;64;;0
.address;6080;52;;0
..opgrp;6132;2;;0
..req_type;6134;6;;0
..core_id;6140;2;;0
..status;6142;1;;0
...xq_89;6144;64;;0
.address;6144;52;;0
..opgrp;6196;2;;0
..req_type;6198;6;;0
..core_id;6204;2;;0
..status;6206;1;;0
...xq_90;6208;64;;0
.address;6208;52;;0
..opgrp;6260;2;;0
..req_type;6262;6;;0
..core_id;6268;2;;0
..status;6270;1;;0
...xq_91;6272;64;;0
.address;6272;52;;0
..opgrp;6324;2;;0
..req_type;6326;6;;0
..core_id;6332;2;;0
..status;6334;1;;0
...xq_92;6336;64;;0
.address;6336;52;;0
..opgrp;6388;2;;0
..req_type;6390;6;;0
..core_id;6396;2;;0
..status;6398;1;;0
...xq_93;6400;64;;0
.address;6400;52;;0
..opgrp;6452;2;;0
..req_type;6454;6;;0
..core_id;6460;2;;0
..status;6462;1;;0
...xq_94;6464;64;;0
.address;6464;52;;0
..opgrp;6516;2;;0
..req_type;6518;6;;0
..core_id;6524;2;;0
..status;6526;1;;0
...xq_95;6528;64;;0
.address;6528;52;;0
..opgrp;6580;2;;0
..req_type;6582;6;;0
..core_id;6588;2;;0
..status;6590;1;;0
...xq_96;6592;64;;0
.address;6592;52;;0
..opgrp;6644;2;;0
..req_type;6646;6;;0
..core_id;6652;2;;0
..status;6654;1;;0
...xq_97;6656;64;;0
.address;6656;52;;0
..opgrp;6708;2;;0
..req_type;6710;6;;0
..core_id;6716;2;;0
..status;6718;1;;0
...xq_98;6720;64;;0
.address;6720;52;;0
..opgrp;6772;2;;0
..req_type;6774;6;;0
..core_id;6780;2;;0
..status;6782;1;;0
...xq_99;6784;64;;0
.address;6784;52;;0
..opgrp;6836;2;;0
